"","Votes","Farming","Mining","Manufacturing","Government","Recreation","Nonspecialized"
"1",20,0,0,36,16,1,49
"2",3,0,14,17,28,48,21
"3",9,0,7,0,33,47,20
"4",11,8,3,25,13,5,51
"5",8,3,0,2,19,34,45
"6",9,0,0,0,12,0,88
"7",12,0,0,0,33,33,33
"8",14,1,0,1,30,27,46
"9",13,6,1,20,18,9,50
"10",1,0,0,0,40,100,0
"11",9,27,5,5,18,25,34
"12",12,12,6,19,14,2,49
"13",23,2,2,46,9,8,37
"14",4,30,0,33,3,1,39
"15",1,44,13,11,7,1,28
"16",5,23,11,22,16,2,36
"17",7,5,11,12,14,2,56
"18",11,75,42,0,42,79,54
"19",13,443,0,71,36,21,150
"20",13,0,8,0,5,5,6
"21",17,0,0,0,1,5,20
"22",16,5,3,1,14,5,6
"23",29,0,0,7,21,30,57
"24",16,3,0,20,15,24,52
"25",3,224,76,12,35,6,24
"26",21,0,30,360,60,30,410
"27",11,95,124,24,48,14,119
"28",9,12,0,9,24,24,48
"29",7,0,0,0,13,10,16
"30",12,0,0,0,1,4,9
"31",16,28,1,20,2,17,38
"32",9,8,1,25,9,1,65
"33",16,89,6,44,31,19,144
"34",18,0,7,15,13,15,57
"35",10,0,0,0,40,40,60
"36",13,0,0,41,20,7,37
"37",13,64,0,5,18,5,20
"38",13,3,0,36,11,4,51
"39",7,26,31,7,15,6,30
"40",2,3,21,7,31,45,21
"41",9,0,0,0,14,64,29
"42",12,2,3,11,25,13,53
"43",16,18,0,3,18,26,44
"44",22,2,38,15,24,13,25
"45",18,4,0,40,8,32,26
"46",0,0,43,0,9,17,35
