"","Votes","White","Black","Native","Asian","Islander","Mixed","Hispanic","state","VotesC"
"1",20,69.7,26.7,0.7,1.3,0.1,1.5,4.1,"Alabama",17
"2",3,66.9,3.9,14.8,6.1,1.3,7.1,6.8,"Alaska",0
"3",9,83.7,4.7,5.3,3.3,0.3,2.7,30.5,"Arizona",9
"4",11,79.7,15.6,1,1.5,0.3,1.9,7,"Arkansas",12
"5",8,73.2,6.5,1.7,14.4,0.5,3.7,38.6,"California",14
"6",9,81.2,11.5,0.5,4.5,0.1,2.2,15,"Connecticut",13
"7",12,70.8,22.2,0.7,3.8,0.1,2.5,8.9,"Delaware",16
"8",14,77.8,16.8,0.5,2.8,0.1,2,24.1,"Florida",14
"9",13,62.1,31.5,0.5,3.8,0.1,2,9.3,"Georgia",14
"10",1,26.7,2.5,0.4,37.5,10,23,10.1,"Hawaii",2
"11",9,93.5,0.8,1.7,1.4,0.2,2.3,12,"Idaho",1
"12",12,77.5,14.7,0.6,5.3,0.1,1.8,16.7,"Illinois",21
"13",23,86.1,9.6,0.4,2,0.1,1.9,6.6,"Indiana",12
"14",4,92.1,3.4,0.5,2.2,0.1,1.7,5.6,"Iowa",6
"15",1,86.8,6.3,1.2,2.8,0.1,2.8,11.4,"Kansas",1
"16",5,88.3,8.2,0.3,1.4,0.1,1.8,3.4,"Kentucky",13
"17",7,63.4,32.5,0.8,1.8,0.1,1.5,4.8,"Louisiana",13
"18",11,60.1,30.3,0.6,6.4,0.1,2.6,9.3,"Maryland",25
"19",13,82.6,8.3,0.5,6.3,0.1,2.2,10.8,"Massachusetts",25
"20",13,79.9,14.2,0.7,2.9,0,2.3,4.8,"Michigan",15
"21",17,59.7,37.5,0.6,1,0.1,1.2,3,"Mississippi",16
"22",16,83.5,11.8,0.5,1.9,0.1,2.1,4,"Missouri",13
"23",29,89.4,0.6,6.6,0.8,0.1,2.6,3.5,"Montana",14
"24",16,89.4,4.9,1.4,2.2,0.1,2,10.2,"Nebraska",2
"25",3,76.2,9.1,1.6,8.3,0.7,4,27.8,"Nevada",1
"26",21,94,1.5,0.3,2.5,0,1.6,3.3,"New Hampshire",20
"27",11,73,14.8,0.6,9.4,0.1,2.1,19.3,"New Jersey",17
"28",9,82.8,2.5,10.4,1.7,0.2,2.5,47.7,"New Mexico",13
"29",7,70.4,17.6,1,8.5,0.1,2.4,18.6,"New York",15
"30",12,71.5,22.1,1.6,2.7,0.1,2.1,9,"North Carolina",16
"31",16,83,12.6,0.3,2,0.1,2.1,3.5,"Ohio",15
"32",9,75.1,7.7,9,2.1,0.2,5.9,9.8,"Oklahoma",9
"33",16,87.9,2,1.8,4.3,0.4,3.6,12.5,"Oregon",17
"34",18,82.9,11.6,0.3,3.3,0.1,1.8,6.6,"Pennsylvania",19
"35",10,85.1,7.7,0.9,3.5,0.2,2.6,14,"Rhode Island",14
"36",13,68.3,27.8,0.5,1.5,0.1,1.7,5.4,"South Carolina",15
"37",13,85.7,1.9,8.9,1.3,0.1,2.2,3.6,"South Dakota",8
"38",13,78.9,17.1,0.4,1.7,0.1,1.7,5,"Tennessee",10
"39",7,80,12.5,1,4.5,0.1,1.8,38.6,"Texas",9
"40",2,91.4,1.3,1.5,2.4,1,2.4,13.5,"Utah",1
"41",9,95,1.2,0.4,1.6,0,1.8,1.8,"Vermont",8
"42",12,70.5,19.7,0.5,6.3,0.1,2.8,8.9,"Virginia",17
"43",16,80.7,4.1,1.9,8.2,0.7,4.5,12.2,"Washington",0
"44",22,93.7,3.6,0.2,0.8,0,1.6,1.5,"West Virginia",12
"45",18,87.8,6.6,1.1,2.6,0,1.8,6.5,"Wisconsin",20
"46",0,92.7,1.6,2.7,1,0.1,2,9.8,"Wyoming",0
